Source Label,Label,Adjusted Time,Target Label,Number of Records
Jane Tyler,emails,05-11-2015 23:12,Timothy Gibson,1
Jane Tyler,emails,05-11-2015 23:13,Timothy Gibson,1
Timothy Gibson,emails,05-11-2015 23:14,Jane Tyler,1
Timothy Gibson,calls,05-11-2015 23:15,Jane Tyler,1
Jane Tyler,emails,05-11-2015 23:15,Timothy Gibson,1
Timothy Gibson,emails,05-11-2015 23:15,Jane Tyler,1
Jane Tyler,emails,05-11-2015 23:15,Timothy Gibson,1
Jane Tyler,emails,05-11-2015 23:16,Timothy Gibson,1
Jane Tyler,emails,05-11-2015 23:17,Timothy Gibson,1
Timothy Gibson,emails,05-11-2015 23:17,Jane Tyler,1
Jane Tyler,calls,05-11-2015 23:18,Timothy Gibson,1
Jane Tyler,emails,05-11-2015 23:18,Timothy Gibson,1
Jane Tyler,calls,05-11-2015 23:19,Timothy Gibson,1
Timothy Gibson,emails,05-11-2015 23:20,Jane Tyler,1
Timothy Gibson,emails,05-11-2015 23:20,Jane Tyler,1
Jane Tyler,calls,05-11-2015 23:21,Timothy Gibson,1
Timothy Gibson,calls,05-11-2015 23:21,Jane Tyler,1
Timothy Gibson,emails,05-11-2015 23:22,Jane Tyler,1
Timothy Gibson,emails,05-11-2015 23:23,Jane Tyler,1
Jane Tyler,emails,05-11-2015 23:25,Timothy Gibson,1
Jane Tyler,calls,05-11-2015 23:25,Timothy Gibson,1
Jane Tyler,calls,05-11-2015 23:25,Timothy Gibson,1
Jane Tyler,purchases,05-11-2015 23:25,Gail Feindt,1
Timothy Gibson,purchases,05-11-2015 23:27,Gail Feindt,1
Timothy Gibson,emails,05-11-2015 23:27,Jane Tyler,1
Timothy Gibson,calls,05-11-2015 23:29,Jane Tyler,1
Jane Tyler,calls,05-11-2015 23:30,Timothy Gibson,1
Timothy Gibson,emails,05-11-2015 23:31,Jane Tyler,1
Timothy Gibson,emails,05-11-2015 23:32,Jane Tyler,1
Timothy Gibson,calls,05-11-2015 23:35,Jane Tyler,1
Timothy Gibson,purchases,05-11-2015 23:35,Gail Feindt,1
Timothy Gibson,calls,05-11-2015 23:35,Jane Tyler,1
Jane Tyler,calls,05-11-2015 23:35,Timothy Gibson,1
Jane Tyler,calls,05-11-2015 23:35,Timothy Gibson,1
Timothy Gibson,calls,05-11-2015 23:36,Jane Tyler,1
Jane Tyler,emails,05-11-2015 23:41,Timothy Gibson,1
Timothy Gibson,calls,05-11-2015 23:50,Jane Tyler,1
Timothy Gibson,calls,05-11-2015 23:53,Jane Tyler,1
Timothy Gibson,purchases,05-11-2015 23:53,Gail Feindt,1
Jane Tyler,emails,05-11-2015 23:55,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 00:00,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 00:00,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 00:03,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 00:06,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 00:08,Gail Feindt,1
Jane Tyler,emails,05-12-2015 00:15,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 00:16,Gail Feindt,1
Timothy Gibson,emails,05-12-2015 00:18,Jane Tyler,1
Jane Tyler,calls,05-12-2015 00:18,Timothy Gibson,1
Timothy Gibson,emails,05-12-2015 00:24,Jane Tyler,1
Timothy Gibson,emails,05-12-2015 00:25,Jane Tyler,1
Jane Tyler,calls,05-12-2015 00:28,Timothy Gibson,1
Jane Tyler,calls,05-12-2015 00:32,Timothy Gibson,1
Timothy Gibson,calls,05-12-2015 00:37,Jane Tyler,1
Timothy Gibson,emails,05-12-2015 00:37,Jane Tyler,1
Timothy Gibson,emails,05-12-2015 00:38,Jane Tyler,1
Jane Tyler,emails,05-12-2015 00:45,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 00:45,Timothy Gibson,1
Timothy Gibson,emails,05-12-2015 00:46,Jane Tyler,1
Jane Tyler,emails,05-12-2015 00:47,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 00:53,Timothy Gibson,1
Timothy Gibson,emails,05-12-2015 00:54,Jane Tyler,1
